rayyan_id,system,multi_season,multi_year,incubation_vol_l,mesocosm_type,stratified,d_temp_control_treatment_c_value,d.T,addit_treat,disturbance
rayyan-1203880719,1.1,0,0,2800,1,0,7-9,8,1,3
rayyan-1203880719,1.1,0,0,2800,1,0,9-12,10.5,1,3
rayyan-1203880725,1.1,1,0,400,1,0,4,4,0,3
rayyan-1203880725,1.1,1,0,400,1,0,0-8,4,0,3
rayyan-1203880733,3.2,0,0,2150,2,0,3,3,0,3
rayyan-1203880733,3.2,0,0,2150,2,0,-3; 3,0,0,3
rayyan-1203880736,1.1,1,0,2800,1,0,3-6,4.5,1,2
rayyan-1203880736,1.1,1,0,2800,1,0,5,5,1,2
rayyan-1203880749,3.2,0,0,1400,2,0,6,6,1,2
rayyan-1203880812,1.3,0,0,136000,3,0,3,3,1,2
rayyan-1203880818,1.3,0,0,1000,1,0,3.8,3.8,1,2
rayyan-1203880818,1.3,0,0,1000,1,0,3.8,3.8,1,2
rayyan-1203880818,1.3,0,0,1000,1,0,3.8,3.8,1,2
rayyan-1203880818,1.3,0,0,1000,1,0,3.8,3.8,1,2
rayyan-1203880818,1.3,0,0,1000,1,0,3.8,3.8,1,2
rayyan-1203880823,1.2,1,0,146000,3,2,3,3,1,2
rayyan-1203880827,3.3,0,0,3000,1,2,3,3,1,2
rayyan-1203880830,3.2,0,0,1400,2,2,6,6,1,2
rayyan-1203880838,3.2,1,0,2.3,3,0,−2; 2; 4 ,3,1,2
rayyan-1203880838,3.2,1,0,2.3,3,0,−2; 2; 5,3.5,1,2
rayyan-1203880839,1.1,0,0,8,2,2,3.5,3.5,2,2
rayyan-1203880848,3.2,0,0,4,2,0,3,3,1,2
rayyan-1203880919,1.1,0,0,1200,3,0,3.01,3.01,2,2
rayyan-1203880926,3.2,0,0,13000,1,0,3,3,0,2
rayyan-1203880943,1.1,1,0,2800,1,0,5,5,1,2
rayyan-1203881013,3.3,0,0,450,1,0,1.5; 3,2.25,1,2
rayyan-1203881022,1.1,1,0,2500,1,2,3.5,3.5,1,2
rayyan-1203881042,3.2,0,0,2200,3,2,3,3,0,2
rayyan-1203881057,1.3,0,0,10,2,0,1.4,1.4,2,2
rayyan-1203881057,1.3,0,0,10,2,0,3,3,2,2
rayyan-1203881057,1.3,0,0,10,2,0,4.2,4.2,2,2
rayyan-1203881118,1.1,1,0,370,1,2,3,3,1,2
rayyan-1203881228,3.2,0,0,1400,2,2,2;4;6,4,0,2
rayyan-1203881228,3.2,0,0,1400,2,2,6,6,1,2
rayyan-1203881228,3.2,0,0,1400,2,2,6,6,1,2
rayyan-1203881245,3.2,0,0,2500,1,2,3,3,2,2
rayyan-1203881255,1.1,1,0,2,2,0,2; 4; 6,4,1,3
rayyan-1203881255,1.1,1,0,2,2,0,2; 4; 7,4,1,3
rayyan-1203881255,1.1,1,0,2,2,0,2; 4; 8,4,1,3
rayyan-1203881255,1.1,1,0,2,2,0,2; 4; 9,4,1,3
rayyan-1203881255,1.1,1,0,2,2,0,2; 4; 10,4,1,3
rayyan-1203880724,1.3,1,0,400,1,0,4; 0.27-8.7,4,0,3
rayyan-1203880713,1.1,0,0,2800,1,2,5,5,1,3
rayyan-1203880720,1.1,0,0,2800,1,0,5,5,1,3
rayyan-1203880726,1.2,0,0,12,4,0,4,4,1,2
rayyan-1203880726,1.2,0,0,12,4,0,9.5,9.5,1,1
rayyan-1203880743,3.2,0,0,1500,2,0,-3; 3,0,1,2
rayyan-1203880853,3.2,1,0,10,4,0,2; 4,3,0,2
rayyan-1203880853,3.2,1,0,10,4,0,2; 4,3,0,2
rayyan-1203880853,3.2,1,0,10,4,0,2; 4,3,0,2
rayyan-1203880853,3.2,1,0,10,4,0,2; 4,3,0,2
rayyan-1203880927,3.2,0,0,13000,1,0,-2; 1,-0.5,0,2
rayyan-1203880935,3.2,0,0,1400,2,0,6,6,1,2
rayyan-1203881027,3.1,1,0,2200,3,0,3,3,0,2
rayyan-1203881027,3.1,1,0,2200,3,0,3,3,0,2
rayyan-1203881041,1.6,0,0,416,1,2,1; 3,2,1,2
rayyan-1203881049,1.3,0,0,8,4,0,2.3,2.3,1,2
